time,light,sound
12-5-17:27:20:6,28,10
12-5-17:27:20:7,28,15
12-5-17:27:20:8,28,60
12-5-17:27:20:9,28,23
12-5-17:27:21:10,28,16
12-5-17:27:21:1,29,20
12-5-17:27:21:2,28,22
12-5-17:27:21:3,28,20
12-5-17:27:21:4,28,12
12-5-17:27:21:5,28,12
12-5-17:27:21:6,29,41
12-5-17:27:21:7,28,14
12-5-17:27:21:8,27,20
12-5-17:27:21:9,28,57
12-5-17:27:22:10,28,66
12-5-17:27:22:1,28,31
12-5-17:27:22:2,30,22
12-5-17:27:22:3,29,54
12-5-17:27:22:4,28,92
12-5-17:27:22:5,28,41
12-5-17:27:22:6,28,41
12-5-17:27:22:7,30,15
12-5-17:27:22:8,28,8
12-5-17:27:22:9,27,16
12-5-17:27:23:10,27,16
12-5-17:27:23:1,28,12
12-5-17:27:23:2,28,12
12-5-17:27:23:3,28,11
12-5-17:27:23:4,28,11
12-5-17:27:23:5,27,46
12-5-17:27:23:6,29,79
12-5-17:27:23:7,28,29
12-5-17:27:23:8,30,108
12-5-17:27:23:9,28,36
12-5-17:27:24:10,29,38
12-5-17:27:24:1,28,104
12-5-17:27:24:2,29,46
12-5-17:27:24:3,28,16
12-5-17:27:24:4,28,26
12-5-17:27:24:5,28,11
12-5-17:27:24:6,28,16
12-5-17:27:24:7,28,17
12-5-17:27:24:8,28,10
12-5-17:27:24:9,28,9
12-5-17:27:25:10,28,12
12-5-17:27:25:1,28,17
12-5-17:27:25:2,28,10
12-5-17:27:25:3,28,14
12-5-17:27:25:4,27,18
12-5-17:27:25:5,29,13
12-5-17:27:25:6,27,10
12-5-17:27:25:7,26,10
12-5-17:27:25:8,28,14
12-5-17:27:25:9,28,9
12-5-17:27:26:10,29,15
12-5-17:27:26:1,27,12
12-5-17:27:26:2,28,14
12-5-17:27:26:3,28,17
12-5-17:27:26:4,28,9
12-5-17:27:26:5,29,18
12-5-17:27:26:6,27,15
12-5-17:27:26:7,28,9
12-5-17:27:26:8,27,10
12-5-17:27:26:9,28,10
12-5-17:27:27:10,27,10
12-5-17:27:27:1,28,17
12-5-17:27:27:2,27,10
12-5-17:27:27:3,28,9
12-5-17:27:27:4,28,13
12-5-17:27:27:5,27,18
12-5-17:27:27:6,28,16
12-5-17:27:27:7,28,29
12-5-17:27:27:8,27,15
12-5-17:27:27:9,28,10
12-5-17:27:28:10,27,11
12-5-17:27:28:1,29,25
12-5-17:27:28:2,27,42
12-5-17:27:28:3,28,14
12-5-17:27:28:4,28,10
12-5-17:27:28:5,28,13
12-5-17:27:28:6,28,9
12-5-17:27:28:7,28,8
12-5-17:27:28:8,28,11
12-5-17:27:28:9,28,9
12-5-17:27:29:10,28,18
12-5-17:27:29:1,29,16
12-5-17:27:29:2,27,12
12-5-17:27:29:3,26,10
12-5-17:27:29:4,27,9
12-5-17:27:29:5,28,34
12-5-17:27:29:6,28,25
12-5-17:27:29:7,28,20
12-5-17:27:29:8,28,19
12-5-17:27:29:9,27,15
12-5-17:27:30:10,28,22
12-5-17:27:30:1,27,26
12-5-17:27:30:2,27,39
12-5-17:27:30:3,29,22
12-5-17:27:30:4,27,24
12-5-17:27:30:5,28,13
12-5-17:27:30:6,28,14
12-5-17:27:30:7,27,13
12-5-17:27:30:8,28,13
12-5-17:27:30:9,27,13
12-5-17:27:31:10,27,13
12-5-17:27:31:1,28,22
12-5-17:27:31:2,28,10
12-5-17:27:31:3,27,16
12-5-17:27:31:4,28,38
12-5-17:27:31:5,28,16
12-5-17:27:31:6,26,15
12-5-17:27:31:7,28,33
12-5-17:27:31:8,28,23
12-5-17:27:31:9,27,52
12-5-17:27:32:10,28,51
12-5-17:27:32:1,27,75
12-5-17:27:32:2,27,68
12-5-17:27:32:3,28,50
12-5-17:27:32:4,28,41
12-5-17:27:32:5,27,27
12-5-17:27:32:6,27,14
12-5-17:27:32:7,28,29
12-5-17:27:32:8,28,48
12-5-17:27:32:9,28,85
12-5-17:27:33:10,28,46
12-5-17:27:33:1,28,29
12-5-17:27:33:2,28,73
12-5-17:27:33:3,27,26
12-5-17:27:33:4,26,25
12-5-17:27:33:5,27,30
12-5-17:27:33:6,27,19
12-5-17:27:33:7,29,31
12-5-17:27:33:8,27,36
12-5-17:27:33:9,28,36
12-5-17:27:34:10,28,24
12-5-17:27:34:1,28,21
12-5-17:27:34:2,27,23
12-5-17:27:34:3,29,62
12-5-17:27:34:4,27,43
12-5-17:27:34:5,27,44
12-5-17:27:34:6,28,45
12-5-17:27:34:7,27,33
12-5-17:27:34:8,27,13
12-5-17:27:34:9,27,20
12-5-17:27:35:10,27,61
12-5-17:27:35:1,28,30
12-5-17:27:35:2,27,58
12-5-17:27:35:3,27,19
12-5-17:27:35:4,27,25
12-5-17:27:35:5,29,45
12-5-17:27:35:6,27,52
12-5-17:27:35:7,27,54
12-5-17:27:35:8,28,40
12-5-17:27:35:9,27,23
12-5-17:27:36:10,27,32
12-5-17:27:36:1,27,14
12-5-17:27:36:2,28,29
12-5-17:27:36:3,28,27
12-5-17:27:36:4,27,44
12-5-17:27:36:5,28,16
12-5-17:27:36:6,28,16
12-5-17:27:36:7,28,13
12-5-17:27:36:8,29,74
12-5-17:27:36:9,27,24
12-5-17:27:37:10,28,33
12-5-17:27:37:1,28,34
12-5-17:27:37:2,27,18
12-5-17:27:37:3,27,34
12-5-17:27:37:4,27,18
12-5-17:27:37:5,27,23
12-5-17:27:37:6,27,37
12-5-17:27:37:7,28,12
12-5-17:27:37:8,28,12
12-5-17:27:37:9,28,14
12-5-17:27:38:10,28,14
12-5-17:27:38:1,29,21
12-5-17:27:38:2,27,23
12-5-17:27:38:3,28,11
12-5-17:27:38:4,28,11
12-5-17:27:38:5,27,22
12-5-17:27:38:6,28,15
12-5-17:27:38:7,27,24
12-5-17:27:38:8,27,8
12-5-17:27:38:9,27,8
12-5-17:27:39:10,27,18
12-5-17:27:39:1,27,27
12-5-17:27:39:2,28,11
12-5-17:27:39:3,28,20
12-5-17:27:39:4,27,17
12-5-17:27:39:5,28,10
12-5-17:27:39:6,27,10
12-5-17:27:39:7,27,14
12-5-17:27:39:8,28,12
12-5-17:27:39:9,29,14
12-5-17:27:40:10,28,8
12-5-17:27:40:1,28,11
12-5-17:27:40:2,28,11
12-5-17:27:40:3,27,15
12-5-17:27:40:4,28,40
12-5-17:27:40:5,28,12
12-5-17:27:40:6,27,31
12-5-17:27:40:7,28,16
12-5-17:27:40:8,27,13
12-5-17:27:40:9,27,15
12-5-17:27:41:10,27,12
12-5-17:27:41:1,27,18
12-5-17:27:41:2,27,11
12-5-17:27:41:3,26,10
12-5-17:27:41:4,27,12
12-5-17:27:41:5,26,12
12-5-17:27:41:6,27,12
12-5-17:27:41:7,27,23
12-5-17:27:41:8,27,10
12-5-17:27:41:9,28,11
12-5-17:27:42:10,27,12
12-5-17:27:42:1,28,13
12-5-17:27:42:2,27,13
12-5-17:27:42:3,27,14
12-5-17:27:42:4,28,13
12-5-17:27:42:5,27,10
12-5-17:27:42:6,28,16
12-5-17:27:42:7,28,11
12-5-17:27:42:8,26,12
12-5-17:27:42:9,28,16
12-5-17:27:43:10,28,20
12-5-17:27:43:1,28,55
12-5-17:27:43:2,29,65
12-5-17:27:43:3,27,23
12-5-17:27:43:4,28,33
12-5-17:27:43:5,28,56
12-5-17:27:43:6,27,19
12-5-17:27:43:7,28,13
12-5-17:27:43:8,28,18
12-5-17:27:43:9,27,23
12-5-17:27:44:10,28,16
12-5-17:27:44:1,27,14
12-5-17:27:44:2,27,12
12-5-17:27:44:3,27,11
12-5-17:27:44:4,27,14
12-5-17:27:44:5,27,24
12-5-17:27:44:6,27,10
12-5-17:27:44:7,26,11
12-5-17:27:44:8,27,12
12-5-17:27:44:9,27,15
12-5-17:27:45:10,27,10
12-5-17:27:45:1,27,10
12-5-17:27:45:2,28,14
12-5-17:27:45:3,27,12
12-5-17:27:45:4,26,14
12-5-17:27:45:5,27,13
12-5-17:27:45:6,27,15
12-5-17:27:45:7,27,13
12-5-17:27:45:8,28,19
12-5-17:27:45:9,27,21
12-5-17:27:46:10,27,15
12-5-17:27:46:1,27,30
12-5-17:27:46:2,26,10
12-5-17:27:46:3,27,14
12-5-17:27:46:4,27,13
12-5-17:27:46:5,27,11
12-5-17:27:46:6,27,18
12-5-17:27:46:7,27,9
12-5-17:27:46:8,27,22
12-5-17:27:46:9,27,22
12-5-17:27:47:10,27,20
12-5-17:27:47:1,27,10
12-5-17:27:47:2,27,39
12-5-17:27:47:3,28,15
12-5-17:27:47:4,27,18
12-5-17:27:47:5,28,35
12-5-17:27:47:6,27,14
12-5-17:27:47:7,27,13
12-5-17:27:47:8,27,20
12-5-17:27:47:9,28,10
12-5-17:27:48:10,27,26
12-5-17:27:48:1,26,17
12-5-17:27:48:2,27,13
12-5-17:27:48:3,27,26
12-5-17:27:48:4,27,10
12-5-17:27:48:5,26,13
12-5-17:27:48:6,27,16
12-5-17:27:48:7,27,27
12-5-17:27:48:8,27,12
12-5-17:27:48:9,27,15
12-5-17:27:49:10,26,17
12-5-17:27:49:1,27,20
12-5-17:27:49:2,27,12
12-5-17:27:49:3,28,10
12-5-17:27:49:4,27,14
12-5-17:27:49:5,26,24
12-5-17:27:49:6,27,25
12-5-17:27:49:7,27,17
12-5-17:27:49:8,27,33
12-5-17:27:49:9,27,24
12-5-17:27:50:10,26,16
12-5-17:27:50:1,26,26
12-5-17:27:50:2,27,26
12-5-17:27:50:3,27,28
12-5-17:27:50:4,26,19
12-5-17:27:50:5,27,9
12-5-17:27:50:6,28,18
12-5-17:27:50:7,27,11
12-5-17:27:50:8,26,27
12-5-17:27:50:9,27,18
12-5-17:27:51:10,27,23
12-5-17:27:51:1,26,19
12-5-17:27:51:2,26,13
12-5-17:27:51:3,27,20
12-5-17:27:51:4,27,18
12-5-17:27:51:5,27,12
12-5-17:27:51:6,26,15
12-5-17:27:51:7,25,15
12-5-17:27:51:8,26,13
12-5-17:27:51:9,27,21
12-5-17:27:52:10,26,12
12-5-17:27:52:1,26,13
12-5-17:27:52:2,25,11
12-5-17:27:52:3,26,17
12-5-17:27:52:4,26,15
12-5-17:27:52:5,26,10
12-5-17:27:52:6,26,12
12-5-17:27:52:7,27,27
12-5-17:27:52:8,25,18
12-5-17:27:52:9,26,12
12-5-17:27:53:10,25,29
12-5-17:27:53:1,26,14
12-5-17:27:53:2,26,14
12-5-17:27:53:3,25,18
12-5-17:27:53:4,25,18
12-5-17:27:53:5,25,12
12-5-17:27:53:6,25,12
12-5-17:27:53:7,26,12
12-5-17:27:53:8,25,12
12-5-17:27:53:9,26,15
12-5-17:27:54:10,26,30
12-5-17:27:54:1,26,12
12-5-17:27:54:2,27,29
12-5-17:27:54:3,25,20
12-5-17:27:54:4,26,12
12-5-17:27:54:5,26,19
12-5-17:27:54:6,26,31
12-5-17:27:54:7,25,18
12-5-17:27:54:8,25,12
12-5-17:27:54:9,27,11
12-5-17:27:55:10,25,10
12-5-17:27:55:1,25,14
12-5-17:27:55:2,25,14
12-5-17:27:55:3,25,12
12-5-17:27:55:4,25,17
12-5-17:27:55:5,26,13
12-5-17:27:55:6,25,12
12-5-17:27:55:7,25,21
12-5-17:27:55:8,25,22
12-5-17:27:55:9,25,21
12-5-17:27:56:10,25,17
12-5-17:27:56:1,25,14
12-5-17:27:56:2,25,11
12-5-17:27:56:3,25,14
12-5-17:27:56:4,25,14
12-5-17:27:56:5,25,9
12-5-17:27:56:6,25,11
12-5-17:27:56:7,26,13
12-5-17:27:56:8,26,18
12-5-17:27:56:9,25,21
12-5-17:27:57:10,25,20
