time,light,sound
12-5-17:26:7:5,16,12
12-5-17:26:7:6,16,13
12-5-17:26:7:7,16,15
12-5-17:26:7:8,16,10
12-5-17:26:7:9,16,12
12-5-17:26:8:10,17,11
12-5-17:26:8:1,16,12
12-5-17:26:8:2,17,10
12-5-17:26:8:3,16,22
12-5-17:26:8:4,16,18
12-5-17:26:8:5,16,22
12-5-17:26:8:6,16,14
12-5-17:26:8:7,16,16
12-5-17:26:8:8,16,14
12-5-17:26:8:9,16,10
12-5-17:26:9:10,16,11
12-5-17:26:9:1,16,12
12-5-17:26:9:2,16,12
12-5-17:26:9:3,16,12
12-5-17:26:9:4,16,12
12-5-17:26:9:5,16,12
12-5-17:26:9:6,15,13
12-5-17:26:9:7,16,17
12-5-17:26:9:8,15,13
12-5-17:26:9:9,16,15
12-5-17:26:10:10,16,15
12-5-17:26:10:1,16,15
12-5-17:26:10:2,16,11
12-5-17:26:10:3,15,12
12-5-17:26:10:4,15,8
12-5-17:26:10:5,16,16
12-5-17:26:10:6,16,16
12-5-17:26:10:7,17,10
12-5-17:26:10:8,16,8
12-5-17:26:10:9,16,8
12-5-17:26:11:10,16,10
12-5-17:26:11:1,17,10
12-5-17:26:11:2,16,8
12-5-17:26:11:3,16,10
12-5-17:26:11:4,16,12
12-5-17:26:11:5,16,13
12-5-17:26:11:6,16,12
12-5-17:26:11:7,16,10
12-5-17:26:11:8,16,9
12-5-17:26:11:9,16,12
12-5-17:26:12:10,16,9
12-5-17:26:12:1,16,9
12-5-17:26:12:2,16,9
12-5-17:26:12:3,16,11
12-5-17:26:12:4,16,10
12-5-17:26:12:5,16,9
12-5-17:26:12:6,17,25
12-5-17:26:12:7,16,12
12-5-17:26:12:8,16,11
12-5-17:26:12:9,16,14
12-5-17:26:13:10,16,11
12-5-17:26:13:1,16,18
12-5-17:26:13:2,16,15
12-5-17:26:13:3,16,25
12-5-17:26:13:4,16,17
12-5-17:26:13:5,16,16
12-5-17:26:13:6,16,12
12-5-17:26:13:7,16,12
12-5-17:26:13:8,15,8
12-5-17:26:13:9,16,10
12-5-17:26:14:10,16,15
12-5-17:26:14:1,15,10
12-5-17:26:14:2,16,17
12-5-17:26:14:3,16,11
12-5-17:26:14:4,15,11
12-5-17:26:14:5,16,10
12-5-17:26:14:6,16,12
12-5-17:26:14:7,16,13
12-5-17:26:14:8,16,14
12-5-17:26:14:9,16,10
12-5-17:26:15:10,16,11
12-5-17:26:15:1,16,10
12-5-17:26:15:2,15,10
12-5-17:26:15:3,16,16
12-5-17:26:15:4,16,13
12-5-17:26:15:5,16,15
12-5-17:26:15:6,15,13
12-5-17:26:15:7,16,19
12-5-17:26:15:8,16,15
12-5-17:26:15:9,15,11
12-5-17:26:16:10,16,10
12-5-17:26:16:1,17,10
12-5-17:26:16:2,16,11
12-5-17:26:16:3,16,12
12-5-17:26:16:4,16,20
12-5-17:26:16:5,16,15
12-5-17:26:16:6,16,11
12-5-17:26:16:7,15,10
12-5-17:26:16:8,16,12
12-5-17:26:16:9,15,10
12-5-17:26:17:10,16,15
12-5-17:26:17:1,15,10
12-5-17:26:17:2,16,11
12-5-17:26:17:3,16,10
12-5-17:26:17:4,17,10
12-5-17:26:17:5,16,10
12-5-17:26:17:6,16,16
12-5-17:26:17:7,15,8
12-5-17:26:17:8,16,12
12-5-17:26:17:9,16,10
12-5-17:26:18:10,16,15
12-5-17:26:18:1,16,10
12-5-17:26:18:2,15,8
12-5-17:26:18:3,15,13
12-5-17:26:18:4,15,11
12-5-17:26:18:5,15,16
12-5-17:26:18:6,16,13
12-5-17:26:18:7,16,11
12-5-17:26:18:8,16,9
12-5-17:26:18:9,15,10
12-5-17:26:19:10,16,9
12-5-17:26:19:1,16,11
12-5-17:26:19:2,16,9
12-5-17:26:19:3,15,12
