time,light,sound
12-5-17:25:18:6,50,12
12-5-17:25:18:7,49,10
12-5-17:25:18:8,50,11
12-5-17:25:18:9,50,10
12-5-17:25:19:10,50,11
12-5-17:25:19:1,49,11
12-5-17:25:19:2,49,13
12-5-17:25:19:3,50,18
12-5-17:25:19:4,49,21
12-5-17:25:19:5,50,15
12-5-17:25:19:6,49,12
12-5-17:25:19:7,49,12
12-5-17:25:19:8,49,11
12-5-17:25:19:9,48,20
12-5-17:25:20:10,48,20
12-5-17:25:20:1,49,20
12-5-17:25:20:2,49,12
12-5-17:25:20:3,49,17
12-5-17:25:20:4,50,12
12-5-17:25:20:5,49,10
12-5-17:25:20:6,50,12
12-5-17:25:20:7,49,10
12-5-17:25:20:8,48,19
12-5-17:25:20:9,49,12
12-5-17:25:21:10,49,8
12-5-17:25:21:1,49,13
12-5-17:25:21:2,49,9
12-5-17:25:21:3,49,12
12-5-17:25:21:4,49,11
12-5-17:25:21:5,49,39
12-5-17:25:21:6,49,26
12-5-17:25:21:7,49,32
12-5-17:25:21:8,49,25
12-5-17:25:21:9,48,22
12-5-17:25:22:10,49,19
12-5-17:25:22:1,49,10
12-5-17:25:22:2,48,18
12-5-17:25:22:3,49,11
12-5-17:25:22:4,48,11
12-5-17:25:22:5,49,36
12-5-17:25:22:6,49,12
12-5-17:25:22:7,48,21
12-5-17:25:22:8,48,10
12-5-17:25:22:9,48,13
12-5-17:25:23:10,49,13
12-5-17:25:23:1,49,25
12-5-17:25:23:2,49,17
12-5-17:25:23:3,49,19
12-5-17:25:23:4,49,10
12-5-17:25:23:5,48,10
12-5-17:25:23:6,49,16
12-5-17:25:23:7,49,22
12-5-17:25:23:8,48,15
12-5-17:25:23:9,48,71
12-5-17:25:24:10,48,140
12-5-17:25:24:1,48,96
12-5-17:25:24:2,49,50
12-5-17:25:24:3,48,18
12-5-17:25:24:4,49,20
12-5-17:25:24:5,49,69
12-5-17:25:24:6,49,37
12-5-17:25:24:7,50,43
12-5-17:25:24:8,49,90
12-5-17:25:24:9,49,35
12-5-17:25:25:10,50,18
12-5-17:25:25:1,49,9
12-5-17:25:25:2,49,17
12-5-17:25:25:3,49,17
12-5-17:25:25:4,49,35
12-5-17:25:25:5,51,37
12-5-17:25:25:6,50,29
12-5-17:25:25:7,49,17
12-5-17:25:25:8,49,18
12-5-17:25:25:9,50,31
12-5-17:25:26:10,50,12
12-5-17:25:26:1,50,12
12-5-17:25:26:2,50,11
12-5-17:25:26:3,49,26
12-5-17:25:26:4,49,9
12-5-17:25:26:5,49,13
12-5-17:25:26:6,50,24
12-5-17:25:26:7,50,60
12-5-17:25:26:8,50,30
12-5-17:25:26:9,49,36
12-5-17:25:27:10,50,45
12-5-17:25:27:1,50,41
12-5-17:25:27:2,50,25
12-5-17:25:27:3,49,27
12-5-17:25:27:4,49,46
12-5-17:25:27:5,50,22
12-5-17:25:27:6,49,60
12-5-17:25:27:7,50,17
12-5-17:25:27:8,49,19
12-5-17:25:27:9,49,9
12-5-17:25:28:10,50,20
12-5-17:25:28:1,50,50
12-5-17:25:28:2,49,16
12-5-17:25:28:3,49,12
12-5-17:25:28:4,49,18
12-5-17:25:28:5,49,14
12-5-17:25:28:6,50,11
12-5-17:25:28:7,50,9
12-5-17:25:28:8,50,10
12-5-17:25:28:9,49,8
12-5-17:25:29:10,50,24
12-5-17:25:29:1,49,15
12-5-17:25:29:2,50,69
12-5-17:25:29:3,50,24
12-5-17:25:29:4,49,32
12-5-17:25:29:5,50,14
12-5-17:25:29:6,51,12
12-5-17:25:29:7,50,11
12-5-17:25:29:8,50,13
12-5-17:25:29:9,49,61
12-5-17:25:30:10,49,36
12-5-17:25:30:1,49,15
12-5-17:25:30:2,50,25
12-5-17:25:30:3,50,17
12-5-17:25:30:4,49,10
12-5-17:25:30:5,49,22
12-5-17:25:30:6,50,28
12-5-17:25:30:7,50,18
12-5-17:25:30:8,50,32
12-5-17:25:30:9,49,12
12-5-17:25:31:10,50,43
12-5-17:25:31:1,49,29
12-5-17:25:31:2,49,16
12-5-17:25:31:3,49,12
12-5-17:25:31:4,49,10
12-5-17:25:31:5,49,10
12-5-17:25:31:6,49,40
12-5-17:25:31:7,49,25
12-5-17:25:31:8,49,9
12-5-17:25:31:9,49,12
12-5-17:25:32:10,50,8
12-5-17:25:32:1,49,10
12-5-17:25:32:2,49,15
12-5-17:25:32:3,49,14
12-5-17:25:32:4,49,10
12-5-17:25:32:5,49,12
12-5-17:25:32:6,50,9
12-5-17:25:32:7,49,9
12-5-17:25:32:8,49,12
12-5-17:25:32:9,49,25
12-5-17:25:33:10,49,28
12-5-17:25:33:1,49,16
12-5-17:25:33:2,49,13
12-5-17:25:33:3,49,17
12-5-17:25:33:4,49,12
12-5-17:25:33:5,49,24
12-5-17:25:33:6,50,18
12-5-17:25:33:7,48,19
12-5-17:25:33:8,49,41
12-5-17:25:33:9,49,32
12-5-17:25:34:10,49,13
12-5-17:25:34:1,49,13
12-5-17:25:34:2,48,12
12-5-17:25:34:3,48,12
12-5-17:25:34:4,49,8
12-5-17:25:34:5,49,8
12-5-17:25:34:6,49,9
12-5-17:25:34:7,49,9
12-5-17:25:34:8,49,10
12-5-17:25:34:9,49,9
12-5-17:25:35:10,48,12
12-5-17:25:35:1,49,8
12-5-17:25:35:2,49,20
12-5-17:25:35:3,49,14
12-5-17:25:35:4,49,20
12-5-17:25:35:5,49,9
12-5-17:25:35:6,49,13
12-5-17:25:35:7,49,10
12-5-17:25:35:8,49,14
12-5-17:25:35:9,49,10
12-5-17:25:36:10,49,11
12-5-17:25:36:1,49,8
12-5-17:25:36:2,49,9
12-5-17:25:36:3,49,11
12-5-17:25:36:4,49,9
12-5-17:25:36:5,48,10
12-5-17:25:36:6,49,21
12-5-17:25:36:7,49,8
12-5-17:25:36:8,49,9
12-5-17:25:36:9,49,8
12-5-17:25:37:10,49,9
12-5-17:25:37:1,49,10
12-5-17:25:37:2,49,10
12-5-17:25:37:3,48,11
