time,light,sound
12-5-17:25:24:5,172,35
12-5-17:25:24:6,172,12
12-5-17:25:24:7,172,10
12-5-17:25:24:8,172,18
12-5-17:25:24:9,173,15
12-5-17:25:25:10,172,12
12-5-17:25:25:1,170,14
12-5-17:25:25:2,169,11
12-5-17:25:25:3,169,80
12-5-17:25:25:4,169,26
12-5-17:25:25:5,170,46
12-5-17:25:25:6,172,16
12-5-17:25:25:7,175,15
12-5-17:25:25:8,176,24
12-5-17:25:25:9,175,36
12-5-17:25:26:10,174,23
12-5-17:25:26:1,175,10
12-5-17:25:26:2,174,13
12-5-17:25:26:3,172,15
12-5-17:25:26:4,169,58
12-5-17:25:26:5,169,20
12-5-17:25:26:6,172,24
12-5-17:25:26:7,174,16
12-5-17:25:26:8,175,142
12-5-17:25:26:9,175,50
12-5-17:25:27:10,175,19
12-5-17:25:27:1,176,15
12-5-17:25:27:2,175,28
12-5-17:25:27:3,173,34
12-5-17:25:27:4,170,15
12-5-17:25:27:5,167,14
12-5-17:25:27:6,165,14
12-5-17:25:27:7,164,13
12-5-17:25:27:8,164,301
12-5-17:25:27:9,165,108
12-5-17:25:28:10,165,41
12-5-17:25:28:1,165,15
12-5-17:25:28:2,165,13
12-5-17:25:28:3,163,18
12-5-17:25:28:4,161,16
12-5-17:25:28:5,158,16
12-5-17:25:28:6,155,11
12-5-17:25:28:7,150,14
12-5-17:25:28:8,148,12
12-5-17:25:28:9,148,26
12-5-17:25:29:10,149,55
12-5-17:25:29:1,152,18
12-5-17:25:29:2,155,12
12-5-17:25:29:3,155,15
12-5-17:25:29:4,154,30
12-5-17:25:29:5,152,148
12-5-17:25:29:6,151,52
12-5-17:25:29:7,151,35
12-5-17:25:29:8,148,12
12-5-17:25:29:9,145,15
12-5-17:25:30:10,145,136
12-5-17:25:30:1,143,52
12-5-17:25:30:2,145,18
12-5-17:25:30:3,147,12
12-5-17:25:30:4,149,12
12-5-17:25:30:5,150,14
12-5-17:25:30:6,151,30
12-5-17:25:30:7,151,12
12-5-17:25:30:8,152,13
12-5-17:25:30:9,153,13
12-5-17:25:31:10,152,24
12-5-17:25:31:1,150,32
12-5-17:25:31:2,147,13
12-5-17:25:31:3,143,14
12-5-17:25:31:4,140,13
12-5-17:25:31:5,138,14
12-5-17:25:31:6,138,14
12-5-17:25:31:7,134,71
12-5-17:25:31:8,129,25
12-5-17:25:31:9,127,10
12-5-17:25:32:10,126,13
12-5-17:25:32:1,125,131
12-5-17:25:32:2,126,51
12-5-17:25:32:3,122,112
12-5-17:25:32:4,120,42
12-5-17:25:32:5,116,125
12-5-17:25:32:6,108,48
12-5-17:25:32:7,102,18
12-5-17:25:32:8,98,11
12-5-17:25:32:9,95,13
12-5-17:25:33:10,95,9
12-5-17:25:33:1,90,11
12-5-17:25:33:2,95,167
12-5-17:25:33:3,100,60
12-5-17:25:33:4,104,153
12-5-17:25:33:5,105,59
12-5-17:25:33:6,101,22
12-5-17:25:33:7,99,165
12-5-17:25:33:8,96,109
12-5-17:25:33:9,95,40
12-5-17:25:34:10,96,15
12-5-17:25:34:1,97,11
12-5-17:25:34:2,104,12
12-5-17:25:34:3,108,12
12-5-17:25:34:4,112,18
12-5-17:25:34:5,115,13
12-5-17:25:34:6,117,13
12-5-17:25:34:7,119,12
12-5-17:25:34:8,117,15
12-5-17:25:34:9,117,9
12-5-17:25:35:10,116,34
12-5-17:25:35:1,115,17
12-5-17:25:35:2,116,15
12-5-17:25:35:3,116,12
12-5-17:25:35:4,117,10
12-5-17:25:35:5,119,15
12-5-17:25:35:6,119,19
12-5-17:25:35:7,120,13
12-5-17:25:35:8,120,22
12-5-17:25:35:9,118,17
12-5-17:25:36:10,116,12
12-5-17:25:36:1,114,13
12-5-17:25:36:2,114,14
12-5-17:25:36:3,114,12
12-5-17:25:36:4,115,14
12-5-17:25:36:5,115,13
12-5-17:25:36:6,116,14
12-5-17:25:36:7,116,16
12-5-17:25:36:8,116,11
12-5-17:25:36:9,116,13
12-5-17:25:37:10,116,11
12-5-17:25:37:1,115,13
12-5-17:25:37:2,114,12
12-5-17:25:37:3,113,12
