time,light,sound
12-5-17:25:7:2,54,11
12-5-17:25:7:3,55,22
12-5-17:25:7:4,54,17
12-5-17:25:7:5,55,13
12-5-17:25:7:6,54,21
12-5-17:25:7:7,54,15
12-5-17:25:7:8,54,18
12-5-17:25:7:9,54,13
12-5-17:25:8:10,54,18
12-5-17:25:8:1,54,9
12-5-17:25:8:2,53,11
12-5-17:25:8:3,53,12
12-5-17:25:8:4,54,11
12-5-17:25:8:5,53,12
12-5-17:25:8:6,54,17
12-5-17:25:8:7,54,20
12-5-17:25:8:8,55,24
12-5-17:25:8:9,55,23
12-5-17:25:9:10,54,11
12-5-17:25:9:1,54,11
12-5-17:25:9:2,55,15
12-5-17:25:9:3,54,13
12-5-17:25:9:4,55,17
12-5-17:25:9:5,55,18
12-5-17:25:9:6,55,16
12-5-17:25:9:7,55,19
12-5-17:25:9:8,55,22
12-5-17:25:9:9,55,10
12-5-17:25:10:10,54,12
12-5-17:25:10:1,54,16
12-5-17:25:10:2,55,15
12-5-17:25:10:3,55,15
12-5-17:25:10:4,55,16
12-5-17:25:10:5,55,17
12-5-17:25:10:6,55,10
12-5-17:25:10:7,55,13
12-5-17:25:10:8,55,10
12-5-17:25:10:9,55,12
12-5-17:25:11:10,54,20
12-5-17:25:11:1,54,15
12-5-17:25:11:2,54,21
12-5-17:25:11:3,54,25
12-5-17:25:11:4,53,21
12-5-17:25:11:5,53,9
12-5-17:25:11:6,53,22
12-5-17:25:11:7,53,19
12-5-17:25:11:8,52,15
12-5-17:25:11:9,52,19
12-5-17:25:12:10,53,12
12-5-17:25:12:1,53,12
12-5-17:25:12:2,52,18
12-5-17:25:12:3,52,18
12-5-17:25:12:4,53,21
12-5-17:25:12:5,53,21
12-5-17:25:12:6,53,21
12-5-17:25:12:7,53,21
12-5-17:25:12:8,53,15
12-5-17:25:12:9,53,12
12-5-17:25:13:10,53,21
12-5-17:25:13:1,54,22
12-5-17:25:13:2,52,21
12-5-17:25:13:3,54,15
12-5-17:25:13:4,53,11
12-5-17:25:13:5,53,11
12-5-17:25:13:6,53,24
12-5-17:25:13:7,53,11
12-5-17:25:13:8,54,11
12-5-17:25:13:9,53,11
12-5-17:25:14:10,53,14
12-5-17:25:14:1,53,20
12-5-17:25:14:2,53,10
12-5-17:25:14:3,53,13
12-5-17:25:14:4,53,15
12-5-17:25:14:5,52,14
12-5-17:25:14:6,53,22
12-5-17:25:14:7,52,15
12-5-17:25:14:8,52,30
12-5-17:25:14:9,52,12
12-5-17:25:15:10,52,26
12-5-17:25:15:1,52,21
12-5-17:25:15:2,52,13
12-5-17:25:15:3,52,15
12-5-17:25:15:4,52,21
12-5-17:25:15:5,52,19
12-5-17:25:15:6,52,24
12-5-17:25:15:7,51,15
12-5-17:25:15:8,51,15
12-5-17:25:15:9,50,11
12-5-17:25:16:10,51,16
12-5-17:25:16:1,52,23
12-5-17:25:16:2,52,19
12-5-17:25:16:3,52,13
12-5-17:25:16:4,53,25
12-5-17:25:16:5,52,13
12-5-17:25:16:6,53,16
12-5-17:25:16:7,53,30
12-5-17:25:16:8,52,13
12-5-17:25:16:9,53,19
12-5-17:25:17:10,52,15
12-5-17:25:17:1,52,21
12-5-17:25:17:2,53,17
12-5-17:25:17:3,53,20
12-5-17:25:17:4,53,38
12-5-17:25:17:5,53,18
12-5-17:25:17:6,54,32
12-5-17:25:17:7,54,35
12-5-17:25:17:8,54,23
12-5-17:25:17:9,53,18
12-5-17:25:18:10,53,11
12-5-17:25:18:1,52,22
12-5-17:25:18:2,53,17
12-5-17:25:18:3,53,23
12-5-17:25:18:4,52,30
12-5-17:25:18:5,52,28
12-5-17:25:18:6,53,57
12-5-17:25:18:7,53,19
12-5-17:25:18:8,54,15
12-5-17:25:18:9,54,14
12-5-17:25:19:10,53,17
12-5-17:25:19:1,53,19
12-5-17:25:19:2,53,16
12-5-17:25:19:3,53,24
12-5-17:25:19:4,53,17
12-5-17:25:19:5,53,14
12-5-17:25:19:6,53,60
12-5-17:25:19:7,52,35
12-5-17:25:19:8,52,19
12-5-17:25:19:9,51,23
12-5-17:25:20:10,52,19
12-5-17:25:20:1,48,24
12-5-17:25:20:2,46,27
12-5-17:25:20:3,44,30
12-5-17:25:20:4,43,26
12-5-17:25:20:5,43,69
12-5-17:25:20:6,43,38
12-5-17:25:20:7,45,60
12-5-17:25:20:8,45,27
12-5-17:25:20:9,45,18
12-5-17:25:21:10,46,22
12-5-17:25:21:1,47,62
12-5-17:25:21:2,47,37
12-5-17:25:21:3,48,28
12-5-17:25:21:4,49,46
12-5-17:25:21:5,50,56
12-5-17:25:21:6,50,58
12-5-17:25:21:7,51,39
12-5-17:25:21:8,51,54
